Longitude,Latitude,label,cluster_id,fold,mod_label
122.366,11.681,presence,42,7.0,1
122.599,10.816,presence,42,7.0,1
122.236,10.65,presence,42,7.0,1
122.4637,10.7281,presence,42,7.0,1
122.636,10.943,presence,42,7.0,1
120.963216,14.601826,presence,17,6.0,1
122.142,10.594,presence,42,7.0,1
123.018,11.257,presence,42,7.0,1
123.054843,10.670983,presence,42,7.0,1
122.1235,14.0565,presence,17,6.0,1
121.323337,14.064211,presence,17,6.0,1
125.767502,8.75611,presence,43,7.0,1
121.008,14.53,presence,17,6.0,1
120.733452,18.510866,presence,17,6.0,1
121.043901,14.675601,presence,17,6.0,1
125.622904,7.124613,presence,43,7.0,1
122.6603,14.2597,presence,17,6.0,1
123.2589,13.6452,presence,17,6.0,1
123.697,13.1322,presence,42,7.0,1
122.5811,9.5775,presence,42,7.0,1
122.511535,10.685743,presence,42,7.0,1
122.578857,10.693068,presence,42,7.0,1
121.102781,14.650026,presence,17,6.0,1
121.085615,14.575941,presence,17,6.0,1
121.05094,14.517786,presence,17,6.0,1
122.364292,11.705022,presence,42,7.0,1
125.51362,9.758461,presence,42,7.0,1
125.543289,8.937983,presence,43,7.0,1
126.311073,8.210811,presence,43,7.0,1
124.932,12.563,presence,42,7.0,1
123.845043,10.269316,presence,42,7.0,1
121.958485,10.452026,presence,42,7.0,1
120.974464,17.086322,presence,17,6.0,1
122.066231,11.044995,presence,42,7.0,1
122.017479,10.655884,presence,42,7.0,1
122.52285,9.549969,presence,42,7.0,1
123.4087,10.8783,presence,42,7.0,1
123.076973,10.898042,presence,42,7.0,1
123.850536,10.275882,presence,42,7.0,1
123.878818,10.302844,presence,42,7.0,1
125.9147,8.6057,presence,43,7.0,1
120.9817,14.6692,presence,17,6.0,1
124.2427,7.2213,presence,43,7.0,1
120.957355,14.661983,presence,17,6.0,1
125.741686,8.715032,presence,43,7.0,1
121.051386,14.553048,presence,17,6.0,1
122.966423,10.636989,presence,42,7.0,1
122.559929,10.717285,presence,42,7.0,1
122.547357,10.692309,presence,42,7.0,1
120.673,14.266,presence,17,6.0,1
121.323195,14.06382,presence,17,6.0,1
121.726944,17.613056,presence,17,6.0,1
120.349998,16.0,presence,17,6.0,1
120.666664,15.066667,presence,17,6.0,1
120.683334,14.916667,presence,17,6.0,1
121.121941,14.696944,presence,17,6.0,1
122.296047,12.534535,presence,42,7.0,1
124.3983,11.5688,presence,42,7.0,1
124.535004,11.523,presence,42,7.0,1
